Date,DSCI
2000-03-21,3.0,
2000-03-28,3.0,
2000-04-04,3.0,
2000-04-11,3.0,
2000-04-18,4.0,
2000-04-25,0.0,
2000-05-02,0.0,
2000-05-09,0.0,
2000-05-16,0.0,
2000-05-23,0.0,
2000-05-30,0.0,
2000-06-06,0.0,
2000-06-13,0.0,
2000-06-20,0.0,
2000-06-27,0.0,
2000-07-04,0.0,
2000-07-11,0.0,
2000-07-18,0.0,
2000-07-25,8.0,
2000-08-01,8.0,
2000-08-08,12.0,
2000-08-15,27.0,
2000-08-22,26.0,
2000-08-29,23.0,
2000-09-05,12.0,
2000-09-12,12.0,
2000-09-19,12.0,
2000-09-26,13.0,
2000-10-03,13.0,
2000-10-10,13.0,
2000-10-17,16.0,
2000-10-24,12.0,
2001-01-02,31.0,
2001-01-09,44.0,
2001-01-16,15.0,
2001-01-23,26.0,
2001-01-30,20.0,
2001-02-06,36.0,
2001-02-13,40.0,
2001-02-20,34.0,
2001-02-27,30.0,
2001-03-06,30.0,
2001-03-13,30.0,
2001-03-20,31.0,
2001-03-27,31.0,
2001-04-03,47.0,
2001-04-10,43.0,
2001-04-17,52.0,
2001-04-24,52.0,
2001-05-01,52.0,
2001-05-08,52.0,
2001-05-15,61.0,
2001-05-22,61.0,
2001-05-29,64.0,
2001-06-05,81.0,
2001-06-12,83.0,
2001-06-19,96.0,
2001-06-26,100.0,
2001-07-03,109.0,
2001-07-10,97.0,
2001-07-17,101.0,
2001-07-24,102.0,
2001-07-31,102.0,
2001-08-07,102.0,
2001-08-14,102.0,
2001-08-21,121.0,
2001-08-28,132.0,
2001-09-04,132.0,
2001-09-11,166.0,
2001-09-18,166.0,
2001-09-25,166.0,
2001-10-02,166.0,
2001-10-09,166.0,
2001-10-16,170.0,
2001-10-23,170.0,
2001-10-30,169.0,
2001-11-06,169.0,
2001-11-13,169.0,
2001-11-20,167.0,
2001-11-27,152.0,
2001-12-04,118.0,
2001-12-11,109.0,
2001-12-18,100.0,
2001-12-25,62.0,
2002-01-01,39.0,
2002-01-08,7.0,
2002-01-15,8.0,
2002-01-22,13.0,
2002-01-29,12.0,
2002-02-05,25.0,
2002-02-12,46.0,
2002-02-19,45.0,
2002-02-26,46.0,
2002-03-05,47.0,
2002-03-12,69.0,
2002-03-19,67.0,
2002-03-26,69.0,
2002-04-02,78.0,
2002-04-09,101.0,
2002-04-16,115.0,
2002-04-23,114.0,
2002-04-30,111.0,
2002-05-07,110.0,
2002-05-14,111.0,
2002-05-21,110.0,
2002-05-28,153.0,
2002-06-04,155.0,
2002-06-11,156.0,
2002-06-18,173.0,
2002-06-25,194.0,
2002-07-02,195.0,
2002-07-09,198.0,
2002-07-16,204.0,
2002-07-23,211.0,
2002-07-30,215.0,
2002-08-06,217.0,
2002-08-13,218.0,
2002-08-20,216.0,
2002-08-27,216.0,
2002-09-03,214.0,
2002-09-10,214.0,
2002-09-17,213.0,
2002-09-24,214.0,
2002-10-01,207.0,
2002-10-08,234.0,
2002-10-15,234.0,
2002-10-22,236.0,
2002-10-29,236.0,
2002-11-05,247.0,
2002-11-12,178.0,
2002-11-19,179.0,
2002-11-26,181.0,
2002-12-03,175.0,
2002-12-10,200.0,
2002-12-17,140.0,
2002-12-24,120.0,
2002-12-31,117.0,
2003-01-07,116.0,
2003-01-14,113.0,
2003-01-21,110.0,
2003-01-28,119.0,
2003-02-04,126.0,
2003-02-11,137.0,
2003-02-18,105.0,
2003-02-25,105.0,
2003-03-04,94.0,
2003-03-11,112.0,
2003-03-18,93.0,
2003-03-25,92.0,
2003-04-01,105.0,
2003-04-08,104.0,
2003-04-15,81.0,
2003-04-22,80.0,
2003-04-29,78.0,
2003-05-06,80.0,
2003-05-13,70.0,
2003-05-20,69.0,
2003-05-27,68.0,
2003-06-03,72.0,
2003-06-10,71.0,
2003-06-17,70.0,
2003-06-24,69.0,
2003-07-01,70.0,
2003-07-08,73.0,
2003-07-15,72.0,
2003-07-22,72.0,
2003-07-29,69.0,
2003-08-05,71.0,
2003-08-12,69.0,
2003-08-19,70.0,
2003-08-26,71.0,
2003-09-02,80.0,
2003-09-09,71.0,
2003-09-16,68.0,
2003-09-23,69.0,
2003-09-30,65.0,
2003-10-07,69.0,
2003-10-14,105.0,
2003-10-21,111.0,
2003-10-28,147.0,
2003-11-04,115.0,
2003-11-11,96.0,
2003-11-18,99.0,
2003-11-25,95.0,
2003-12-02,97.0,
2003-12-09,91.0,
2003-12-16,91.0,
2003-12-23,94.0,
2003-12-30,62.0,
2004-01-06,59.0,
2004-01-13,67.0,
2004-01-20,60.0,
2004-01-27,58.0,
2004-02-03,58.0,
2004-02-10,58.0,
2004-02-17,58.0,
2004-02-24,54.0,
2004-03-02,51.0,
2004-03-09,51.0,
2004-03-16,51.0,
2004-03-23,51.0,
2004-03-30,63.0,
2004-04-06,60.0,
2004-04-13,93.0,
2004-04-20,93.0,
2004-04-27,100.0,
2004-05-04,136.0,
2004-05-11,136.0,
2004-05-18,136.0,
2004-05-25,138.0,
2004-06-01,139.0,
2004-06-08,140.0,
2004-06-15,140.0,
2004-06-22,140.0,
2004-06-29,144.0,
2004-07-06,146.0,
2004-07-13,146.0,
2004-07-20,147.0,
2004-07-27,152.0,
2004-08-03,151.0,
2004-08-10,175.0,
2004-08-17,172.0,
2004-08-24,172.0,
2004-08-31,179.0,
2004-09-07,179.0,
2004-09-14,177.0,
2004-09-21,177.0,
2004-09-28,177.0,
2004-10-05,177.0,
2004-10-12,177.0,
2004-10-19,162.0,
2004-10-26,133.0,
2004-11-02,123.0,
2004-11-09,119.0,
2004-11-16,115.0,
2004-11-23,115.0,
2004-11-30,112.0,
2004-12-07,108.0,
2004-12-14,101.0,
2004-12-21,101.0,
2004-12-28,92.0,
2005-01-04,41.0,
2005-01-11,21.0,
2005-01-18,16.0,
2005-01-25,16.0,
2005-02-01,15.0,
2005-02-08,14.0,
2005-02-15,13.0,
2005-02-22,13.0,
2005-03-01,11.0,
2005-03-08,11.0,
2005-03-15,15.0,
2005-03-22,15.0,
2005-03-29,8.0,
2005-04-05,8.0,
2005-04-12,7.0,
2005-04-19,6.0,
2005-04-26,6.0,
2005-05-03,7.0,
2005-05-10,4.0,
2005-05-17,2.0,
2005-05-24,2.0,
2005-05-31,2.0,
2005-06-07,2.0,
2005-06-14,2.0,
2005-06-21,1.0,
2005-06-28,1.0,
2005-07-05,1.0,
2005-07-12,1.0,
2005-07-19,1.0,
2005-07-26,1.0,
2005-08-02,1.0,
2005-08-09,1.0,
2005-08-16,1.0,
2005-08-23,1.0,
2005-08-30,1.0,
2005-09-06,1.0,
2005-09-13,1.0,
2005-09-20,1.0,
2005-09-27,0.0,
2005-10-04,0.0,
2005-10-11,0.0,
2005-10-18,0.0,
2005-10-25,0.0,
2005-11-01,0.0,
2005-11-08,0.0,
2005-11-15,0.0,
2005-11-22,0.0,
2005-11-29,25.0,
2005-12-06,10.0,
2005-12-13,10.0,
2005-12-20,6.0,
2005-12-27,6.0,
2006-01-03,2.0,
2006-01-10,3.0,
2006-01-17,3.0,
2006-01-24,3.0,
2006-01-31,3.0,
2006-02-07,13.0,
2006-02-14,13.0,
2006-02-21,16.0,
2006-02-28,25.0,
2006-03-07,22.0,
2006-03-14,17.0,
2006-03-21,17.0,
2006-03-28,9.0,
2006-04-04,8.0,
2006-04-11,7.0,
2006-04-18,7.0,
2006-04-25,7.0,
2006-05-02,8.0,
2006-05-09,8.0,
2006-05-16,8.0,
2006-05-23,8.0,
2006-05-30,8.0,
2006-06-06,8.0,
2006-06-13,8.0,
2006-06-20,8.0,
2006-06-27,8.0,
2006-07-04,8.0,
2006-07-11,8.0,
2006-07-18,8.0,
2006-07-25,8.0,
2006-08-01,8.0,
2006-08-08,8.0,
2006-08-15,8.0,
2006-08-22,7.0,
2006-08-29,7.0,
2006-09-05,18.0,
2006-09-12,18.0,
2006-09-19,16.0,
2006-09-26,16.0,
2006-10-03,16.0,
2006-10-10,16.0,
2006-10-17,16.0,
2006-10-24,16.0,
2006-10-31,16.0,
2006-11-07,16.0,
2006-11-14,16.0,
2006-11-21,23.0,
2006-11-28,23.0,
2006-12-05,57.0,
2006-12-12,51.0,
2006-12-19,71.0,
2006-12-26,71.0,
2007-01-02,86.0,
2007-01-09,95.0,
2007-01-16,95.0,
2007-01-23,154.0,
2007-01-30,174.0,
2007-02-06,176.0,
2007-02-13,159.0,
2007-02-20,174.0,
2007-02-27,157.0,
2007-03-06,157.0,
2007-03-13,188.0,
2007-03-20,188.0,
2007-03-27,196.0,
2007-04-03,209.0,
2007-04-10,237.0,
2007-04-17,268.0,
2007-04-24,255.0,
2007-05-01,255.0,
2007-05-08,255.0,
2007-05-15,276.0,
2007-05-22,288.0,
2007-05-29,289.0,
2007-06-05,289.0,
2007-06-12,289.0,
2007-06-19,292.0,
2007-06-26,292.0,
2007-07-03,293.0,
2007-07-10,293.0,
2007-07-17,293.0,
2007-07-24,293.0,
2007-07-31,293.0,
2007-08-07,293.0,
2007-08-14,293.0,
2007-08-21,293.0,
2007-08-28,293.0,
2007-09-04,293.0,
2007-09-11,293.0,
2007-09-18,293.0,
2007-09-25,291.0,
